ID,vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp,RMSD
1A2K,33,-60.55,1841.67,708.34,-1021.39,-2816.61,969.71,2737.88,-5.86,-92.07,-164.65,11.13,16.71
1A2K,45,-57.62,2242.25,612.78,-483.66,-2732.17,442.91,2768.31,-3.12,-69.29,-200.81,-13.79,11.42
1A2K,19,-34.03,625.04,605.46,-392.5,-2636.2,377.27,2760.52,-1.45,-45.16,-178.85,2.44,11.2
1A2K,40,-69.59,1563.67,800.73,-820.61,-2084.35,836.02,2257.63,-2.88,-88.85,-182.87,6.96,18.92
1A2K,33,-44.92,1964.62,601.45,-628.8,-2290.94,627.05,2361.45,-3.47,-67.48,-188.34,-6.01,15.59
1A2K,31,-72.22,1228.28,720.96,-499.41,-2557.99,502.44,2584.18,-3.22,-86.09,-171.9,-2.2,14.91
1A2K,46,-54.68,4436.07,739.25,-809.51,-2787.35,794.27,3160.06,-4.16,-95.38,-168.98,6.02,8.82
1A2K,37,-47.19,1237.12,584.71,-468.31,-2520.9,477.45,2470.22,-6.29,-57.93,-205.5,-7.82,10.78
1A2K,38,-65.82,1479.73,942.34,-485.1,-2134.2,509.25,2409.87,-3.33,-70.89,-171.28,-12.55,19.83
1A2K,29,-43.67,483.28,648.44,-747.03,-2563.74,738.31,2781.44,-4.78,-64.85,-174.88,-1.61,11.58
1A2K,33,-47.64,496.16,615.98,-567.68,-2875.5,548.22,3007.42,-5.35,-57.14,-213.59,-2.15,8.65
1A2K,33,-60.27,1135,865.05,-812.55,-3562.09,745.61,3851.25,-4.83,-90.84,-162.4,5.61,11.49
1A2K,51,-62.71,3427.04,782.56,-376.77,-2373.41,395.18,2363.19,-2.43,-65.79,-203.39,-14.44,15.68
1A2K,29,-58.39,1016.96,745.06,-525.13,-2130.47,564.45,2512.46,-4.08,-64.88,-190.28,-1.01,14.15
1A2K,16,-33.08,110.86,694.37,-384.08,-2243.05,330.91,2472.37,-3.39,-42.43,-176.97,-3.79,17.49
1A2K,53,-54.94,3004.83,703.6,-658.08,-2144.85,646.37,2355.44,-3.82,-72.48,-193.35,-14.3,17.24
1A2K,26,-50.21,690.19,589.32,-564.48,-2609.53,545.79,2574.5,-1.5,-64.5,-191.39,-4.11,10.1
1A2K,64,-69.1,4076.47,746.18,-1292.56,-2197.46,1307.16,2541.24,-6.31,-119.05,-188.85,10.1,14.65
1A2K,64,-81.09,5176.5,862.67,-761.25,-2018.95,766.2,2417.45,-2.93,-118.14,-159.88,-4.61,20.72
1A2K,34,-57.9,2719.77,886.97,-688.83,-3681.82,647.45,3986.31,-2.75,-85.31,-166.53,6.66,12.69
1A2K,33,-53.96,1693.4,623.08,-283.15,-2067.49,246.21,2101.87,-0.97,-46.78,-196.45,-15.47,14.19
1A2K,36,-59.82,2429.83,835.88,-523.89,-2323.99,529.99,2469.56,-3.66,-78.13,-181.88,-4.71,15.92
1A2K,51,-62.85,1813.74,645.48,-934.27,-2092.92,912.16,2158.51,-7.25,-74.69,-190.02,-11.69,16.25
1A2K,51,-49.57,2164.34,738.53,-260.94,-2068.68,258.61,2362.78,-3.44,-56.46,-190.67,-11.58,18.81
1A2K,25,-41.65,1116.62,759.01,-494.18,-3188.84,469.32,3587.04,-0.68,-64.46,-171.02,10.61,9.47
1A2K,28,-44.12,993.8,725.52,-347.18,-2414.97,386.9,2419.56,-1.85,-54.18,-197.58,-5.95,16.5
1A2K,33,-49.76,1718.7,799.63,-609.36,-2441.36,629.72,2673.23,-3.53,-71.78,-174.99,-1.71,15.99
1A2K,46,-46.33,1726.01,637.25,-327.3,-2959.25,335.06,2827.73,0,-55.9,-185.95,-8.2,12.97
1A2K,62,-51.52,2002.26,775.81,-332.14,-2328.95,344.93,2655.84,0,-60.28,-207.78,-14.48,14.67
1A2K,52,-64.73,2348.36,700.05,-662.38,-2182.66,655.48,2547.09,-6.39,-91.49,-182.06,6.41,14.17
1A2K,64,-60.26,3536.9,535.98,-506.12,-3167.34,500.11,3185.31,-2.56,-72.52,-195.89,-2.74,13.67
1A2K,28,-63.86,240.46,831.58,-885.07,-3615.67,829.43,3983.93,-2.17,-95.61,-146.83,9.78,13.8
1A2K,22,-41.86,847.96,567.38,-343.15,-2393.17,322.22,2888.74,0,-46.6,-191.69,-2.96,14.8
1A2K,54,-58.89,2500.94,669.46,-442.85,-2619.73,440.88,2533.13,-2.25,-78.34,-184.38,-3.11,14.99
1A2K,56,-71.04,2620.96,575.88,-935.7,-2593.91,906.61,2563.44,-10.55,-96.65,-205.48,1.18,8.33
1A2K,117,-109.14,9589.9,830.23,-1672.21,-1991.32,1674.2,2476.36,-8.16,-182.3,-159.47,-5.27,20.26
1A2K,24,-52.64,1028.17,721.5,-510.34,-2078.39,509.29,2437.54,0,-65.76,-185.66,-1.11,13.79
1A2K,23,-29.88,299.4,548.05,-327.27,-1820.14,344.93,2226.51,-2.36,-32.25,-187.96,-4.1,22.27
1A2K,33,-67.19,1294.56,834.23,-518.78,-1940.91,538.52,2189.3,-2.76,-74.05,-193.09,-11.39,21.77
1A2K,16,-29.89,128.98,526.56,-448.05,-2789.2,399.97,3089.88,-3.46,-46.38,-170.26,12.93,12.88
1A2K,107,-96.52,4173.85,782.07,-815.76,-3282.3,746.21,3506.1,-4,-123.27,-186.56,-9.25,13.54
1A2K,76,-74.19,5085.87,751.58,-768.42,-2968.91,772.35,3330.24,-3.4,-111.5,-190.66,-1.61,6.22
1A2K,26,-38.58,1133.72,657.65,-276.62,-1841.72,274.99,2260.57,-0.74,-37.83,-187.06,-4.78,16.35
1A2K,99,-86.19,5570.63,884.74,-973.11,-2191.78,967.48,2376.26,-3.81,-121.57,-177.81,-9.27,22.71
1A2K,31,-48.25,2035.19,723.86,-406.25,-3192.07,376.93,3277.84,-2.13,-70.69,-191.45,-9.92,11.62
1A2K,162,-123.07,9634.28,841.09,-2225.79,-2621.72,2241.91,2920.65,-13.36,-233.52,-177.66,2.3,13.99
1A2K,39,-63.61,2533.61,796.26,-398.35,-1846.66,372.71,2062.17,-2.99,-68.02,-191.03,-15.07,21.24
1A2K,44,-74.58,3094.46,771.82,-778.63,-3497.91,754.95,3962.75,-7.31,-100.8,-177.5,-0.72,9.29
1A2K,24,-40.43,399.97,726.6,-426.75,-2173,482.73,2461.79,-5.23,-51.85,-187.89,-9.9,16.6
1A2K,44,-59.12,2193.54,614.18,-360.07,-2475.68,315.44,2854.25,-1.4,-68.51,-188.99,-5.95,16.51
1A2K,130,-113.63,11844.03,723.57,-1474.53,-2491.43,1416.54,2590.52,-9.38,-186.98,-189.14,-1.37,13.44
1A2K,42,-62.6,1975.96,706.71,-854.61,-2039.92,869.24,2184.24,-8.31,-89.95,-185.09,-2.86,15.8
1A2K,88,-91.07,4115.73,788.63,-1746.75,-2398.71,1765.31,2491.42,-11.79,-167.74,-163.01,5.09,22.38
1A2K,71,-64.94,2783.9,785.65,-470.46,-3381.64,472.17,3481.71,-1.92,-87.42,-192.99,-4.88,11.11
1A2K,98,-71.37,9034.97,633.44,-885.96,-2901.18,861.67,3013.34,-1.79,-120.81,-214.36,-9.94,7.92
1A2K,39,-41.08,1384.02,608.7,-521.36,-2251.3,491.75,2381.23,-3.14,-57.34,-178.74,0.95,21.88
1A2K,93,-126.29,5187.32,748.92,-1943,-3178.92,1834.16,3738.15,-10.32,-189.04,-168.65,8.76,15.28
1A2K,74,-75.13,3725.43,687.98,-811.83,-3078.29,796.74,3015.39,-5.44,-104.01,-193.25,-3.65,7.68
1A2K,10,-26.03,53.84,567.81,-124.92,-2419.5,117.12,2800.48,0,-24.9,-191.37,-4.47,14.62
1A2K,33,-53.34,1417.71,828.24,-752.63,-3230.07,766.76,3372.21,-1.6,-80.55,-182.49,9.16,8.45
1A2K,35,-46.1,2543.59,703.65,-390.91,-3352.89,351.99,3546.44,-3,-62.31,-188.2,-7.07,6.63
1A2K,19,-25.77,262.59,532.92,-442.34,-1654.13,400.43,1944.45,-1.29,-40.95,-177.36,4.4,17.11
1A2K,76,-69.85,4881.09,706.74,-797,-2090.2,822.23,2512.76,-8.57,-106.25,-184.88,0.58,13.29
1A2K,20,-48.71,280.93,698.22,-715.95,-1964.27,753.41,2239.95,-4.43,-59.39,-189.05,5.07,15.24
1A2K,44,-73.91,2570.47,745.43,-1005.66,-2191.54,1028.34,2360.09,-5.58,-106,-184.4,3.23,16.08
1A2K,55,-64.46,2367.51,853.54,-608.08,-2259.1,625.17,2849.82,-1.49,-90,-186.3,1.39,18.85
1A2K,14,-31.9,184.42,583.52,-405.7,-1844.87,447.65,2047.22,-2.63,-40.19,-180.61,-3.06,15.16
1A2K,41,-49.45,1672.27,622.38,-840.01,-1870.16,800.08,2063.28,-6.8,-73.94,-189.09,-5.1,17.05
1A2K,20,-26.69,856.79,563.44,-124.23,-2570.77,133.88,2520.1,0,-31.65,-200,-7.34,6.16
1A2K,57,-67.63,6171.29,750.57,-663,-1806.51,651.34,1947.98,-6.92,-97.23,-188.25,-5.66,22.17
1A2K,23,-43.93,1276.26,673.45,-720.94,-2122.59,710.94,2365.78,-2.14,-66.46,-173.11,-2.26,17.03
1A2K,49,-54.26,2309.38,698.52,-576.39,-2091.97,540.51,2327.41,-3.16,-69.92,-181.74,-13.09,16.96
1A2K,22,-33.22,474.29,611.15,-385.12,-2417.93,397.52,2421.15,0,-44.4,-185.66,-3.45,11.14
1A2K,57,-59.1,4471.65,695.31,-413.39,-3760.13,406.32,3788.27,0,-93.74,-172.86,4.12,11.76
1A2K,48,-70.82,1565.21,764.03,-837.92,-1913.96,829.96,2321.37,-2.55,-104.48,-166.73,3.76,19.2
1A2K,98,-82.58,7065.74,750.22,-1473.41,-2070.06,1498.12,2446.76,-8.39,-163.09,-183.84,3.7,15.92
1A2K,44,-57.68,1770.28,556.75,-439.14,-3118.04,377.61,3057.66,-2.84,-72.76,-186.84,4.29,13.16
1A2K,22,-46.13,514.26,799.33,-396.33,-2267.09,410.19,2309.86,0,-51.2,-188.79,-7.7,19.21
1A2K,55,-60.24,2323.57,637.71,-893.78,-2007.88,898.52,2447.17,-3.07,-85.54,-189.55,-4.16,12.9
1A2K,80,-70.21,7085.3,874.15,-835.33,-4104.44,785.52,3936.85,-1.95,-113.48,-166.79,5.15,10.39
1A2K,39,-51.71,1403.49,569.06,-523.1,-2154.4,481.3,2823.12,-1.73,-69.09,-180.07,-1.65,16.13
1A2K,39,-47.34,1270.8,708.27,-475.88,-2048.49,461.36,2446.07,-0.89,-62.5,-187.71,-6.22,14.08
1A2K,45,-86.37,2256.53,814.29,-1192.77,-2813.73,1145.43,3257.93,-9.13,-127.22,-154.94,14.16,15.09
1A2K,47,-63.47,1918.61,816.15,-708.35,-3273.94,694.32,3845.75,-4.56,-88.61,-177.24,-0.73,11.85
1A2K,31,-45.16,1804.36,783.05,-330.62,-1878.8,347.54,2181.51,-1.93,-48.31,-187.71,-10.73,20.3
1A2K,55,-54.78,2804.36,810.5,-178.53,-2739.16,188.45,2721.68,0,-56.4,-205.82,-13.12,14.76
1A2K,41,-48.67,2703.33,776.12,-528.7,-3254.81,496.33,3649.6,-2.15,-75.77,-172.46,6.92,7.56
1A2K,69,-77.36,4613.14,810.38,-926.38,-2736.64,854.59,3317.39,-3.68,-115.13,-158.25,9.21,14.13
1A2K,56,-81.73,3136.71,737.98,-999.13,-3717.13,966.04,3831.98,-4.84,-108.5,-176.01,8.03,8.34
1A2K,43,-52.91,1853.3,730.5,-629.31,-2297.35,587.45,2879.65,-5.2,-72.3,-178.64,-5.17,16.69
1A2K,49,-68.36,1516.92,767.13,-579.41,-2850.03,564.78,2885.09,-3.54,-84.69,-187.54,-5.61,10.93
1A2K,117,-119.03,9703.3,892.6,-1412.53,-3094.53,1404.18,3221.06,-5.99,-208.22,-179.16,11.63,16.05
1A2K,38,-40.45,3373.33,610.78,-452.26,-2640.47,432.44,2810.05,-3.89,-63.45,-186.93,-2.22,13.97
1A2K,100,-94.84,6145.57,834.73,-830.06,-2129.19,831.25,2282.08,-0.39,-148,-172.45,-3.28,15.92
1A2K,45,-68.23,1788.74,789.03,-756.25,-2449.46,764.31,2375.45,-5.86,-91.12,-162.42,-6.02,14.99
1A2K,90,-91.92,7087.33,902.05,-851.96,-2047.24,838.04,2342,-4.67,-125.28,-175.16,-16.64,22.21
1A2K,63,-73.26,3664.88,779.52,-805.07,-2319.72,833.23,2645.46,-6.12,-105.87,-193.32,-1.04,15.85
1A2K,107,-91.91,8096.33,809.9,-1376.45,-3395.84,1327.57,3421.82,-9.52,-155.95,-172.88,3.28,2.73
1A2K,29,-45.56,1250.07,621.91,-635.9,-1852.48,601.36,2199.89,-5.66,-58.27,-177.39,-2.79,16.88
1A2K,91,-68.39,5769.43,667.25,-611.77,-2695.56,626.41,2736.47,-4.15,-108.64,-208.6,-18.74,8.78
1A2K,41,-45.83,2610.95,582.13,-563.87,-2041.5,560.01,2423.03,-1.74,-66.83,-183.36,-4.75,14.41
1A2K,42,-66.06,2740.78,720.07,-532,-3060.88,510,3308.52,-2.73,-83.11,-188.87,-2.82,11.41
1A2K,74,-78.92,4923.01,834.45,-607.6,-2438.33,612.86,2825.22,-5,-101.08,-203.39,-23.15,14.76
1A2K,61,-55.13,3629.76,544.44,-469.64,-2203.19,440.53,2242.11,-3.99,-67.68,-194.37,-7.57,14.62
1A2K,44,-62.01,1927.48,733.28,-810.27,-3096.97,818.79,3318.74,-5.71,-83.92,-175.93,6.12,5.38
1A2K,20,-32.57,487.84,540.34,-385.47,-2554.03,340.25,2463.92,0,-38.67,-187.21,-0.72,11.19
1A2K,28,-53.38,2129.55,617.68,-385.46,-2368.38,364.04,2972.05,-1.48,-71.1,-186.78,1.11,19.35
1A2K,64,-64.01,3386.49,774.15,-922.84,-2198.82,914.78,2768.19,-6.83,-111.4,-185.04,6.21,17.33
1A2K,92,-96.86,4656.87,915.76,-1076.34,-3751.9,1062.66,4102.04,-4.41,-150.28,-167.55,11.73,9.14
1A2K,87,-85.16,7071.8,746.95,-1215.7,-2167.91,1238.83,2419.43,-7.1,-148.52,-176.84,8.35,16.68
1A2K,52,-58.69,1970.87,692.32,-673.16,-2770.23,690.15,2841.57,-2.84,-82.58,-196.03,-0.42,11.52
1A2K,33,-38.65,2510.93,815.25,-351.39,-3524.6,362.04,3596.63,-0.95,-63.01,-172.74,7.34,13.77
1A2K,60,-90.48,3824.54,1014.74,-716.6,-2004.59,779.79,2167.11,-4.36,-119.91,-170.67,-16.38,22.85
1A2K,48,-63.82,2666.41,715.8,-884.42,-2400.51,871.42,2784.86,-3.8,-98.38,-164.18,2.61,16.71
1A2K,24,-36.5,3787.03,491.94,-408.68,-3112.74,344.46,2867.91,-1.62,-58.9,-176.9,6.14,17.13
1A2K,58,-58.56,1584.81,768.68,-369.41,-2350.16,342.95,2429.12,-0.96,-70.77,-190.49,-14.72,15.56
1A2K,61,-65.49,3128.62,831.42,-533.91,-1748.83,548.07,1966.14,-4.43,-87.95,-188.07,-16.88,22.17
1A2K,53,-54.96,2620.52,673.14,-830.6,-2796.84,807.26,2879.94,-3.26,-85.04,-185.34,2.05,12.57
1A2K,50,-60.99,2349.48,898.26,-896.33,-3572.29,894.58,3827.92,-3.9,-106.8,-166.05,4.71,8.75
1A2K,22,-38.43,712.38,499.4,-550.96,-2323.04,536.11,2367.5,-2.89,-56.93,-173.54,4.94,10.55
1A2K,74,-68.15,3965.53,670.44,-713.61,-2909.7,735.82,3008.25,-4.95,-111.02,-187.41,-7.13,12.77
1A2K,55,-79.17,4775.96,690.7,-1305.94,-2005.34,1300.51,2201.08,-9.89,-124.36,-172.46,9.21,16.69
1A2K,64,-61.84,6557.64,732.5,-636.54,-3150.75,637.95,3202.31,-4.21,-111.18,-176.93,0.83,12.58
1A2K,18,-35.61,307.92,583.43,-353.59,-2301.96,370.85,2391.09,0,-35.53,-201.63,-4.16,9.56
1A2K,4,-14.04,82.32,508.47,-209.53,-2856.05,177.74,2911.45,0,-21.8,-182.71,2.36,10.08
1A2K,31,-36.76,1221.17,468.68,-327.48,-2481.47,319.61,2513.6,-1.4,-38.77,-215.38,0.35,13.8
1A2K,33,-41.54,1715.99,622.72,-303.33,-3139.07,295.3,3528.74,-2.53,-54.2,-185.95,-1.44,13.96
1A2K,15,-32.31,178.71,615.22,-156.3,-1914.14,161.5,1928.43,-0.54,-30.62,-197.25,-10.8,17.42
1A2K,25,-66.74,931.58,664,-953.93,-2276.9,938.94,2909.32,-4.3,-95.47,-172.09,14.24,21.72
1A2K,32,-44.92,1872.71,725.45,-144.12,-2497.61,136.7,2501.44,-1.35,-49.05,-189.58,-11.72,16.24
1A2K,15,-32.34,307.7,565.87,-471.47,-2869.42,488.26,3003.56,-0.64,-49.32,-177.64,6.52,13.84
1A2K,41,-41.89,2015.97,611.13,-534.42,-2232.56,479.32,2323.18,-0.7,-56.75,-193.78,0.89,13.86
1A2K,27,-60.25,1496.05,910.05,-780.72,-1945.02,799.2,2083.14,-7.35,-88.55,-175.27,-0.84,24.7
1A2K,33,-55.64,1738.06,708.23,-656.64,-2192.85,630.01,2420.7,-3.06,-75.76,-185.34,-5.22,16.09
1A2K,43,-58.5,2595.39,700.95,-908.91,-1698.43,847.74,2040.75,-6.58,-85.65,-170.86,-1.64,19.25
1A2K,36,-82.39,2192.46,1013.22,-610.81,-2367.33,649.17,2643.4,-3.48,-101.39,-168.16,2.02,19.13
1A2K,38,-63.31,938.47,867.81,-783.58,-1893.3,747.9,2177.23,-4.13,-81.66,-181.47,-5.53,22.68
1A2K,19,-56.51,2028.71,772.57,-872.45,-2800.49,848.2,3002.59,-4.94,-82.43,-161.66,9.82,12.48
1A2K,71,-97.62,3891.02,735.47,-1365.34,-2895.02,1288.8,3305.87,-8.82,-146.36,-171.94,12.1,3.94
1A2K,33,-43.72,1823.51,634.18,-235.65,-2862.91,231.38,2795.87,-1.67,-42.21,-190.95,-2.87,6.86
1A2K,27,-35.87,903.18,743.64,-377.55,-2495.65,359.99,2753.48,-2.21,-47.43,-188.2,-0.03,13.65
1A2K,45,-48.77,2062.02,563.44,-556.84,-2327.3,548.65,2609.03,-1.94,-60.61,-181.92,0.8,17.08
1A2K,66,-81.66,2294.64,705.84,-1550.07,-3322.51,1512.22,3406.94,-5.83,-132.66,-162.58,15.53,14.41
1A2K,26,-48.99,1044.31,619.05,-339.23,-3171.87,320.69,3433.71,-0.9,-62.17,-178.8,3.51,15.52
1A2K,40,-53.68,1677.41,597.31,-671.9,-1586.12,661.38,1954.38,-2.34,-70.49,-184.21,-9.35,20.47
1A2K,56,-57.38,3326.47,683.22,-1079.08,-2138.7,1063.67,2261.51,-4.54,-94.35,-188.62,4.15,15.18
1A2K,50,-62.5,1344.49,782.01,-681.43,-1980.52,665.13,2298.21,-2.97,-73.42,-184.7,-12.45,19.46
1A2K,19,-31.84,422.59,663.94,-105,-2475.1,127.3,2568.11,0,-28.54,-199.47,-5.88,13.24
1A2K,66,-72.99,3615.18,617.93,-752.21,-3236.34,692.87,3421.24,-4.01,-110.53,-181.64,11.13,11.54
1A2K,44,-55.31,2486.02,772.76,-636.93,-2638.1,662.7,2617.24,-2.78,-77.18,-180.66,-1.94,14.21
1A2K,61,-64.11,3074.07,704.51,-525.37,-2820.73,544.5,2847.89,-2.96,-84.91,-196.84,-7.4,11.5
1A2K,84,-80.95,4951.65,616.37,-976.42,-3031.01,962.72,2988.44,-4.92,-122.92,-209.42,-1.99,10.9
1A2K,32,-31.03,1421.01,520.77,-184.14,-2719.39,168.37,2606.95,-1.41,-39.29,-208.91,-5.54,6.18
1A2K,25,-33.99,1731.44,594.86,-272.65,-2536.09,255.87,2680.83,-1.06,-48.82,-185.46,-7.67,12.45
1A2K,50,-60.35,5137.59,835.04,-674.72,-2738.55,673.99,3086.6,-4.22,-94.09,-183.21,-6.63,13.25
1A2K,38,-43.1,2550.93,749.9,-464.25,-2370.15,481.2,2587.07,-7.56,-61.81,-184.71,-10.92,14.42
1A2K,25,-65.18,488.47,860.73,-573.27,-2503.61,583.02,2945.59,-2.68,-80.39,-184.02,-1.67,13.65
1A2K,38,-42.71,2708.18,597.56,-492.33,-2693.03,453.23,2879.57,-2.43,-59.16,-187.23,4.63,9.57
1A2K,25,-43.59,338.38,614.21,-614.79,-2988.43,583.44,3129.29,-0.97,-60,-174.35,5.3,17.92
1A2K,72,-40.18,3569.08,594.2,-723.02,-3059.17,686.08,3168.61,-5.18,-76.93,-189.02,3.1,9.51
1A2K,45,-59.42,2108.7,583.02,-587.87,-2757.68,555.47,2803.36,-5.69,-75.16,-193.77,-4.51,11.79
1A2K,60,-74.01,3444.21,893.62,-594.81,-3648.89,607.62,3967.22,-3.97,-92.36,-169.54,-0.78,11.07
1A2K,41,-58.25,2156.63,895.5,-602.38,-3265.12,634.39,3375.3,-1.96,-77.96,-178.3,1.74,11.26
1A2K,47,-42.79,1302.23,610.15,-260.52,-2606.14,242.05,2666.92,-3.06,-47.63,-209.14,-7.43,12.11
1A2K,29,-65.44,1057.67,783.76,-832.04,-2757.78,804.59,2890.21,-6.32,-95.04,-175.9,11.83,17.26
1A2K,5,-28.91,54.48,708.65,-102.83,-2481.98,90.23,2489.33,-0.95,-25.74,-194.51,-7.88,14.66
1A2K,29,-33.56,1885.72,622.14,-242.91,-2116.76,250.98,2349.46,-1.57,-43.24,-192.63,-5.55,16.22
1A2K,83,-69.76,4769.95,766.33,-665.86,-2431.33,665.68,3106.35,-2.34,-98.08,-186.48,-10.11,14.9
1A2K,28,-51,924.6,687.24,-476.78,-2445.22,504.56,2567.65,-2.56,-63.88,-187.12,-0.23,11.44
1A2K,47,-57.96,2462.69,672.08,-909.16,-2669.95,877.91,2759.36,-5.18,-94.35,-166.6,6.43,13.64
