vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp,vdwf,hit(2.5A),near_hit(4.0A),RMSD,,Rank,Number of hits,,53.074,151.294,0.15,1.373,13.235,-0.097,15.93,-0.734,0,0,27.635,79.063
59,-70.5365,3678.77,1126.39,-340.937,-84.0289,393.405,66.4128,-6.78754,-1258.62,-145.183,-17.6437,2.12E+08,N,N,8.65033,-9135.086056,37,11,-9135.086056,3131.366,-10671.74923,551.8155,1546.53347,-4512.301195,8.1508033,6266.94165,-48.7469952,0,0,-4012.132205,-1394.963853
35,-69.7649,2130.17,961.739,-382.71,-133.072,471.288,106.183,-0.620206,-949.526,-127.051,-11.823,11444.1,N,N,7.66482,-9125.823216,38,11,-9125.823216,1857.59,-10555.01078,319.5255,1320.467647,-5065.16685,12.907984,7507.61784,-77.938322,0,0,-3511.054385,-934.761849
36,-59.1368,818.907,852.643,-357.842,-45.136,421.623,34.2747,-1.77522,-1202.82,-143.872,-17.1863,1086,Y,Y,0.964404,-9117.931205,39,12,-9117.931205,1910.664,-8947.043019,122.83605,1170.678839,-4736.03887,4.378192,6716.45439,-25.1576298,0,0,-3975.90272,-1358.800437
62,-69.0526,3286.33,968.615,-391.209,-30.5581,450.894,21.2822,-2.404,-1071.65,-147.45,-21.1189,119141,N,Y,2.9501,-9085.869204,40,12,-9085.869204,3290.588,-10447.24406,492.9495,1329.908395,-5177.651115,2.9641357,7182.74142,-15.6211348,0,0,-4074.78075,-1669.723591
14,-54.1861,233.415,909.081,-372.829,-66.0868,431.286,50.2639,-7.1104,-1224.77,-139.794,-11.9326,335.474,Y,Y,1.30759,-9072.938812,41,13,-9072.938812,743.036,-8198.031813,35.01225,1248.168213,-4934.391815,6.4104196,6870.38598,-36.8937026,0,0,-3863.20719,-943.4271538
46,-60.5613,3151.49,900.443,-368.82,-67.5376,376.867,109.225,-2.15697,-1139.66,-127.765,-19.9364,1.48E+09,N,N,8.70966,-9070.604344,42,13,-9070.604344,2441.404,-9162.561322,472.7235,1236.308239,-4881.3327,6.5511472,6003.49131,-80.17115,0,0,-3530.785775,-1576.231593
19,-47.0816,1622.04,771.966,-263.764,-56.5904,294.797,26.4791,-2.35368,-1081.6,-148.315,-17.0906,6.24E+06,Y,Y,1.17963,-9070.208126,43,14,-9070.208126,1008.406,-7123.16359,243.306,1059.909318,-3490.91654,5.4892688,4696.11621,-19.4356594,0,0,-4098.685025,-1351.234108
65,-85.735,3732.28,1186.26,-518.014,-61.1215,622.996,56.7393,-5.04563,-1242.34,-146.322,-9.06419,151178,N,N,4.19271,-9060.361505,44,14,-9060.361505,3449.81,-12971.19109,559.842,1628.73498,-6855.91529,5.9287855,9924.32628,-41.6466462,0,0,-4043.60847,-716.642054
53,-69.0026,2118.77,723.833,-477.633,-38.4719,527.57,58.1377,-5.95488,-685.238,-135.63,-13.1438,5839.22,N,N,17.4277,-9058.666417,45,14,-9058.666417,2812.922,-10439.67936,317.8155,993.822709,-6321.472755,3.7317743,8404.1901,-42.6730718,0,0,-3748.13505,-1039.188259
44,-55.4796,2903.99,820.956,-375.134,-106.531,366.608,66.3075,-3.77239,-1057.68,-138.434,-19.5327,115707,N,N,7.65097,-9028.810213,46,14,-9028.810213,2335.256,-8393.730602,435.5985,1127.172588,-4964.89849,10.333507,5840.06544,-48.669705,0,0,-3825.62359,-1544.31386
48,-60.7755,1826.35,895.566,-354.23,-46.9582,409.556,41.2802,-2.41501,-1220.41,-150.908,-19.2719,6995.2,Y,Y,1.10003,-9027.64038,47,15,-9027.64038,2547.552,-9194.968497,273.9525,1229.612118,-4688.23405,4.5549454,6524.22708,-30.2996668,0,0,-4170.34258,-1523.69423
33,-54.5777,888.012,923.112,-251.94,-44.6366,281.388,46.8824,-2.62157,-1094.11,-141.33,-14.2551,2880.78,N,N,7.81722,-9019.904481,48,15,-9019.904481,1751.442,-8257.278544,133.2018,1267.432776,-3334.4259,4.3297502,4482.51084,-34.4116816,0,0,-3905.65455,-1127.050971
14,-48.8178,1062.38,876.299,-202.847,-57.5178,225.719,61.7726,0,-1071.75,-134.228,-11.1195,26489.4,N,N,7.6074,-8997.558752,49,15,-8997.558752,743.036,-7385.840233,159.357,1203.158527,-2684.680045,5.5792266,3595.70367,-45.3410884,0,0,-3709.39078,-879.1410285
48,-69.3399,3496.01,952.686,-474.033,-48.2839,535.675,69.3123,-1.10285,-915.135,-134.356,-17.3654,389842,N,N,16.7819,-8983.323828,50,15,-8983.323828,2547.552,-10490.71083,524.4015,1308.037878,-6273.826755,4.6835383,8533.30275,-50.8752282,0,0,-3712.92806,-1372.96062
59,-79.5016,2463.29,1023.08,-564.7,-94.5569,653.587,92.7653,-2.70324,-979.559,-127.424,-15.3997,111720,N,N,7.78177,-8982.556752,51,15,-8982.556752,3131.366,-12028.11507,369.4935,1404.68884,-7473.8045,9.1720193,10411.64091,-68.0897302,0,0,-3521.36224,-1217.546481
48,-66.4091,2428.31,1153.9,-333.654,-80.4552,374.166,53.7798,-1.96406,-1293.47,-152.966,-9.06271,2.37E+08,N,N,8.49498,-8982.052155,52,15,-8982.052155,2547.552,-10047.29838,364.2465,1584.3047,-4415.91069,7.8041544,5960.46438,-39.4743732,0,0,-4227.21541,-716.5250407
38,-64.8416,1031.12,1025.88,-455.132,-61.9825,506.042,67.1066,-4.018,-1006.38,-134.229,-12.888,1744.89,N,N,7.59575,-8964.181051,53,15,-8964.181051,2016.812,-9810.14503,154.668,1408.53324,-6023.67202,6.0123025,8061.24906,-49.2562444,0,0,-3709.418415,-1018.963944
67,-77.0602,3466.02,978.656,-578.107,-48.6231,683.786,34.7402,-6.54647,-1215.07,-146.327,-24.0444,28745.7,Y,Y,0.935319,-8963.277284,54,16,-8963.277284,3555.958,-11658.7459,519.903,1343.694688,-7651.246145,4.7164407,10892.71098,-25.4993068,0,0,-4043.746645,-1901.022397
26,-58.1634,728.832,1038.96,-275.992,-41.4701,322.565,75.5427,-4.55322,-1051.73,-148.849,-5.02624,2133.62,N,N,8.75191,-8960.5837,55,16,-8960.5837,1379.924,-8799.77344,109.3248,1426.49208,-3652.75412,4.0225997,5138.46045,-55.4483418,0,0,-4113.442115,-397.3896131
40,-58.6386,3634.95,949.973,-242.189,-46.327,274.88,40.0939,-3.13157,-1123.86,-136.803,-17.9865,1.54E+06,N,N,8.2097,-8953.238693,56,16,-8953.238693,2122.96,-8871.668348,545.2425,1304.312929,-3205.371415,4.493719,4378.8384,-29.4289226,0,0,-3780.550905,-1422.06665
30,-53.6752,768.987,868.77,-345.769,-79.7979,394.64,43.7762,-4.72555,-1140.39,-144.001,-17.7824,19177.2,Y,Y,0.693536,-8919.772825,57,17,-8919.772825,1592.22,-8120.735709,115.34805,1192.82121,-4576.252715,7.7403963,6286.6152,-32.1317308,0,0,-3979.467635,-1405.929891
62,-74.5322,2732.02,811.27,-561.145,-53.6087,649.617,63.3823,-3.69532,-859.523,-132.637,-21.1457,119194,N,N,17.9575,-8918.95376,58,17,-8918.95376,3290.588,-11276.27467,409.803,1113.87371,-7426.754075,5.2000439,10348.39881,-46.5226082,0,0,-3665.423495,-1671.842479
61,-75.6645,2880.62,1291.19,-414.755,-46.5899,479.225,75.5402,-6.59608,-1195.29,-151.344,-10.2922,136108,N,N,8.76274,-8907.453103,59,17,-8907.453103,3237.514,-11447.58486,432.093,1772.80387,-5489.282425,4.5192203,7634.05425,-55.4465068,0,0,-4182.39144,-813.7322086
22,-47.4441,1692.58,772.673,-270.209,-57.3798,303.624,26.6463,-2.3078,-1078.53,-148.253,-17.0987,3.08E+07,Y,Y,1.18893,-8897.937148,60,18,-8897.937148,1167.628,-7178.007665,253.887,1060.880029,-3576.216115,5.5658406,4836.73032,-19.5583842,0,0,-4096.971655,-1351.874518
63,-73.4766,2836.2,758.106,-532.732,-40.5844,594.498,59.1336,-5.52012,-745.342,-135.57,-15.4242,5529.84,N,N,17.3552,-8892.379913,61,18,-8892.379913,3343.662,-11116.56872,425.43,1040.879538,-7050.70802,3.9366868,9470.35314,-43.4040624,0,0,-3746.47695,-1219.483525
57,-77.8572,4537.73,987.64,-577.818,-46.7358,653.846,62.9191,-5.18773,-1016.28,-133.888,-15.1402,9.93E+06,N,N,16.6357,-8887.748206,62,18,-8887.748206,3025.218,-11779.32722,680.6595,1356.02972,-7647.42123,4.5333726,10415.76678,-46.1826194,0,0,-3699.99488,-1197.029633
42,-73.6679,2053.14,1093.57,-357.79,-81.3909,482.386,76.5035,-3.33784,-1179.27,-137.191,-11.227,4254.64,N,N,8.87219,-8885.07456,63,18,-8885.07456,2229.108,-11145.51126,307.971,1501.47161,-4735.35065,7.8949173,7684.40898,-56.153569,0,0,-3791.273285,-887.640301
31,-54.4196,1152.34,767.174,-374.384,-60.5148,395.352,63.115,-3.4666,-990.424,-135.697,-13.4721,19238.1,N,N,7.14855,-8874.486652,64,18,-8874.486652,1645.294,-8233.358962,172.851,1053.329902,-4954.97224,5.8699356,6297.95736,-46.32641,0,0,-3749.986595,-1065.144642
12,-56.5081,490.832,1051.83,-220.97,-86.882,280.924,62.7702,-0.714125,-1054.99,-128.73,-5.365,850.275,N,N,8.59985,-8863.352039,65,18,-8863.352039,636.888,-8549.336481,73.6248,1444.16259,-2924.53795,8.427554,4475.11932,-46.0733268,0,0,-3557.45355,-424.172995
3,-36.5565,22.7964,749.143,-148.145,-31.5868,170.859,17.108,-2.31429,-1043.54,-149.271,-14.4552,-13.7601,Y,Y,1.05007,-8855.948432,66,19,-8855.948432,159.222,-5530.779111,3.41946,1028.573339,-1960.699075,3.0639196,2721.78387,-12.557272,0,0,-4125.104085,-1142.871478
19,-46.4269,416.097,793.495,-256.484,-36.6793,298.462,19.4262,-2.6419,-1107.12,-145.355,-16.7355,739.367,Y,Y,0.798978,-8854.633504,67,20,-8854.633504,1008.406,-7024.111409,62.41455,1089.468635,-3394.56574,3.5578921,4754.49966,-14.2588308,0,0,-4016.885425,-1323.158837
68,-81.0241,4300.54,1097.13,-422.502,-79.0045,502.934,70.2506,-3.14843,-1098.69,-138.496,-11.4152,2.20E+07,N,N,8.97274,-8851.820467,68,20,-8851.820467,3609.032,-12258.46019,645.081,1506.35949,-5591.81397,7.6634365,8011.73862,-51.5639404,0,0,-3827.33696,-902.5199576
51,-61.7733,2803.66,965.363,-281.793,-48.0388,325.43,53.0259,-3.40493,-1118.44,-144.408,-17.5068,1.17E+06,N,N,7.93224,-8847.710162,69,20,-8847.710162,2706.774,-9345.92965,420.549,1325.443399,-3729.530355,4.6597636,5184.0999,-38.9210106,0,0,-3990.71508,-1384.140128
44,-57.7191,2402.5,926.74,-300.223,-105.294,320.613,55.5551,-2.17921,-1185.85,-137.43,-17.4527,236271,N,N,4.18312,-8838.899606,70,20,-8838.899606,2335.256,-8732.553515,360.375,1272.41402,-3973.451405,10.213518,5107.36509,-40.7774434,0,0,-3797.87805,-1379.86282
50,-82.509,3827.93,1105.09,-666.949,-43.5521,794.068,39.0347,-5.65977,-938.289,-124.333,-18.3638,394382,N,N,16.0848,-8827.771842,71,20,-8827.771842,2653.7,-12483.11665,574.1895,1517.28857,-8827.070015,4.2245537,12649.50324,-28.6514698,0,0,-3435.942455,-1451.897119
10,-50.0794,146.467,938.261,-220.864,-42.3351,260.24,65.5202,-2.20564,-941.825,-136.895,-6.11224,114.107,N,N,8.37303,-8823.612859,72,20,-8823.612859,530.74,-7576.712744,21.97005,1288.232353,-2923.13504,4.1065047,4145.6232,-48.0918268,0,0,-3783.093325,-483.2520311
19,-43.6369,338.775,698.602,-217.265,-77.1127,239.624,52.3323,-0.509007,-1047.32,-141.136,-15.7656,620.75,N,N,8.50664,-8819.591277,73,20,-8819.591277,1008.406,-6602.001149,50.81625,959.180546,-2875.502275,7.4799319,3817.21032,-38.4119082,0,0,-3900.29336,-1246.475633
52,-65.0916,3621.48,977.791,-371.711,-66.0152,400.388,89.5694,-2.31426,-1045.39,-133.573,-16.6834,925597,N,N,7.62256,-8813.475707,74,20,-8813.475707,2759.848,-9847.96853,543.222,1342.507043,-4919.595085,6.4034744,6378.18084,-65.7439396,0,0,-3691.289855,-1319.039654
34,-63.7994,2701.08,1005.44,-298.841,-75.2948,366.525,72.3614,-4.44992,-1168.11,-140.967,-8.58886,281450,N,N,9.15808,-8799.230444,75,20,-8799.230444,1804.516,-9652.466424,405.162,1380.46912,-3955.160635,7.3035956,5838.74325,-53.1132676,0,0,-3895.623045,-679.0610382
48,-63.8157,900.093,1009.58,-297.677,-85.2328,358.489,68.7966,-2.74448,-1077.58,-147.128,-10.7583,952.106,N,N,7.70314,-8773.933427,76,20,-8773.933427,2547.552,-9654.932516,135.01395,1386.15334,-3939.755095,8.2675816,5710.72977,-50.4967044,0,0,-4065.88228,-850.5834729
45,-65.9597,1661.5,846.358,-425.433,-63.4679,504.217,86.1138,-2.21372,-915.138,-126.512,-18.2389,82940.6,N,N,14.0323,-8773.363676,77,20,-8773.363676,2388.33,-9979.306852,249.225,1162.049534,-5630.605755,6.1563863,8032.17681,-63.2075292,0,0,-3496.15912,-1442.022151
47,-65.9017,3648.43,1126.79,-385.876,-52.2864,419.513,71.2281,-4.27318,-1078.32,-143.659,-11.9114,8.72E+09,N,N,9.24895,-8764.910528,78,20,-8764.910528,2494.478,-9970.5318,547.2645,1547.08267,-5107.06886,5.0717808,6682.84209,-52.2814254,0,0,-3970.016465,-941.7510182
58,-67.9945,3731.87,1088.07,-358.198,-126.137,409.094,92.6376,-2.38013,-1169.2,-148.171,-15.5439,2.06E+06,N,N,9.33366,-8758.464043,79,20,-8758.464043,3078.292,-10287.15988,559.7805,1493.92011,-4740.75053,12.235289,6516.86742,-67.9959984,0,0,-4094.705585,-1228.947366
42,-69.7723,1305.23,842.519,-401.98,-95.3593,477.007,119.092,-3.12366,-803.622,-127.087,-5.96362,17239.3,N,N,15.1232,-8757.657668,80,20,-8757.657668,2229.108,-10556.13036,195.7845,1156.778587,-5320.2053,9.2498521,7598.72151,-87.413528,0,0,-3512.049245,-471.5016881
39,-66.2173,3640.08,1103.94,-342.229,-43.1443,405.785,51.7967,-3.81342,-1189.73,-136.853,-12.5183,1.13E+06,N,N,7.7713,-8757.41912,81,20,-8757.41912,2069.886,-10018.28019,546.012,1515.70962,-4529.400815,4.1849971,6464.15505,-38.0187778,0,0,-3781.932655,-989.7343529
30,-51.3146,1228.61,831.649,-327.212,-37.9617,368.635,20.7566,-1.44077,-1164.02,-143.42,-18.7028,21997.2,Y,Y,1.0767,-8757.185021,82,21,-8757.185021,1592.22,-7763.591092,184.2915,1141.854077,-4330.65082,3.6822849,5872.35555,-15.2353444,0,0,-3963.4117,-1478.699476
36,-57.5801,1481.22,907.344,-276.147,-58.2707,310.021,61.2794,-2.36823,-843.147,-143.815,-8.74086,86572.1,N,N,9.61158,-8753.797313,83,21,-8753.797313,1910.664,-8711.523649,222.183,1245.783312,-3654.805545,5.6522579,4938.63453,-44.9790796,0,0,-3974.327525,-691.0786142
47,-84.4937,3019.96,1209.2,-552.833,-58.0312,668.323,53.8978,-3.76342,-1301.01,-140.605,0.183619,243110,N,N,4.75985,-8751.079278,84,21,-8751.079278,2494.478,-12783.38985,452.994,1660.2316,-7316.744755,5.6290264,10646.38539,-39.5609852,0,0,-3885.619175,14.517469
30,-60.6027,2019.85,949.136,-334.015,-88.8215,385.23,78.4514,-2.82469,-1062.92,-138.799,-7.61229,323446,N,N,8.98083,-8740.966782,85,21,-8740.966782,1592.22,-9168.824894,302.9775,1303.163728,-4420.688525,8.6156855,6136.7139,-57.5833276,0,0,-3835.710365,-601.8504843
35,-52.7871,2231,838.485,-230.71,-54.4831,248.019,89.9603,-0.401399,-1118.35,-132.299,-16.1678,52280.7,N,N,8.84672,-8740.499418,86,21,-8740.499418,1857.59,-7986.371507,334.65,1151.239905,-3053.44685,5.2848607,3950.94267,-66.0308602,0,0,-3656.082865,-1278.274771
